"parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","batch","original_label"
"210719_a25","14557507",503.496754742931,237.04205777319,"1","","111H","seeds","aNM","vNM","H","a","aNMvNM",2.44576365964356,1.94226690490063,2.20872160187037,1,"14557507_111HaNMvNM"
"210719_a25","14557507",443.311424083132,279.930013826712,"1","","112H","shed","aNM","vM","H","a","aNMvM",2.42587114745228,1.98255972336915,2.14594113362557,1,"14557507_112HaNMvM"
"210719_a25","14557507",469.749665745597,290.414709035687,"1","","113H","sheep","aM","vM","H","a","aMvM",2.72799432959839,2.25824466385279,2.4375796205627,1,"14557507_113HaMvM"
"210719_a25","14557507",759.351345168845,456.985159271295,"1","","114L","silk","aNM","vNM","L","a","aNMvNM",2.60764188636777,1.84829054119893,2.15065672709648,1,"14557507_114LaNMvNM"
"210719_a25","14557507",466.869534569859,208.943492903179,"1","","115H","skirt","aM","vNM","H","a","aMvNM",2.6378086059164,2.17093907134654,2.42886511301322,1,"14557507_115HaMvNM"
"210719_a25","14557507",609.706667357252,359.571406940502,"1","","116H","sleeves","aNM","vM","H","a","aNMvM",2.95517407755754,2.34546741020029,2.59560267061704,1,"14557507_116HaNMvM"
"210719_a25","14557507",398.775793865258,114.530258150998,"1","","117H","slice","aM","vM","H","a","aMvM",2.52206865618731,2.12329286232205,2.40753839803631,1,"14557507_117HaMvM"
"210719_a25","14557507",607.040488277636,447.551014593457,"1","","118L","sling","aNM","vNM","L","a","aNMvNM",2.93590097005775,2.32886048178011,2.48834995546429,1,"14557507_118LaNMvNM"
"210719_a25","14557507",518.117863858173,201.549652986753,"1","","119H","splash","aM","vNM","H","a","aMvNM",2.69045726081199,2.17233939695382,2.48890760782524,1,"14557507_119HaMvNM"
"210719_a25","14557507",523.407155729537,100.574468947838,"1","","120H","sponge","aNM","vM","H","a","aNMvM",2.73314762819795,2.20974047246841,2.63257315925011,1,"14557507_120HaNMvM"
"210719_a25","14557507",519.491309341583,315.221801765823,"1","","121H","spool","aM","vM","H","a","aMvM",2.39840559836366,1.87891428902208,2.08318379659784,1,"14557507_121HaMvM"
"210719_a25","14557507",343.858862462167,238.500961227577,"0","spin","122L","spoon","aNM","vNM","L","a","aNMvNM",2.55495273920108,2.21109387673891,2.3164517779735,1,"14557507_122LaNMvNM"
"210719_a25","14557507",639.864147918169,455.314387241749,"1","","123H","sport","aM","vNM","H","a","aMvNM",2.70777402546424,2.06790987754607,2.25245963822249,1,"14557507_123HaMvNM"
"210719_a25","14557507",418.060281291797,318.180956243067,"1","","124H","spray","aNM","vM","H","a","aNMvM",2.51338701694819,2.09532673565639,2.19520606070512,1,"14557507_124HaNMvM"
"210719_a25","14557507",406.340544390743,210.550990822483,"1","","126H","strap","aM","vM","H","a","aMvM",2.46943858394986,2.06309803955912,2.25888759312738,1,"14557507_126HaMvM"
"210719_a25","14557507",712.459756948181,293.067452938531,"1","","127L","swamps","aNM","vNM","L","a","aNMvNM",2.72353947315172,2.01107971620354,2.43047202021319,1,"14557507_127LaNMvNM"
"210719_a25","14557507",368.674447246741,204.159566294311,"1","","128H","swan","aM","vNM","H","a","aMvNM",2.55509542232146,2.18642097507472,2.35093585602715,1,"14557507_128HaMvNM"
"210719_a25","14557507",715.324854760965,666.386216805895,"1","","129L","tea","aM","vNM","L","a","aMvNM",2.93880561628542,2.22348076152446,2.27241939947953,1,"14557507_129LaMvNM"
"210719_a25","14557507",682.888829877324,539.665371026994,"1","","12H","bread","aNM","vM","H","a","aNMvM",2.98090349737,2.29801466749268,2.44123812634301,1,"14557507_12HaNMvM"
"210719_a25","14557507",735.589215460724,394.120465460624,"1","","130L","tent","aM","vM","L","a","aMvM",2.48192776738205,1.74633855192133,2.08780730192143,1,"14557507_130LaMvM"
"210719_a25","14557507",452.099360215676,217.889648564525,"1","","131L","thief","aNM","vM","L","a","aNMvM",2.69548884210563,2.24338948188995,2.4775991935411,1,"14557507_131LaNMvM"
"210719_a25","14557507",519.86352811597,213.05639427752,"1","","132H","thorns","aNM","vNM","H","a","aNMvNM",2.81522741253892,2.29536388442295,2.6021710182614,1,"14557507_132HaNMvNM"
"210719_a25","14557507",557.857378411504,321.901091209234,"1","","133L","throat","aM","vNM","L","a","aMvNM",2.39740239897636,1.83954502056486,2.07550130776713,1,"14557507_133LaMvNM"
"210719_a25","14557507",487.866399451959,354.75436665264,"0","ten","134L","tin","aM","vM","L","a","aMvM",2.26796424025919,1.78009784080723,1.91320987360655,1,"14557507_134LaMvM"
"210719_a25","14557507",557.688055606222,432.855409686982,"1","","136L","trail","aNM","vM","L","a","aNMvM",2.41958390483167,1.86189584922545,1.98672849514469,1,"14557507_136LaNMvM"
"210719_a25","14557507",565.867909410655,370.342015348625,"1","","137H","trap","aNM","vNM","H","a","aNMvNM",2.57727380303191,2.01140589362126,2.20693178768329,1,"14557507_137HaNMvNM"
