"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VISUAL"	"PREDICT"	"ACC"	"CONDITION"	"LogRT"
"210719_a25"	14557507	547.9969224	197.3482481	1	""	"66H"	"hint"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.813510938	2.265514016	2.61616269	"210719_a25"	"66H"	197.3482481	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.28496992494759
"210719_a25"	14557507	528.6764796	261.6868056	1	""	"67L"	"hips"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.708299403	2.179622924	2.446612597	"210719_a25"	"67L"	261.6868056	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.56714839022915
"210719_a25"	14557507	478.2068282	329.576233	1	""	"68L"	"hive"	"aM"	"vM"	"L"	"a"	"aMvM"	2.548723278	2.07051645	2.219147045	"210719_a25"	"68L"	329.576233	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.79780768681886
"210719_a25"	14557507	509.8871749	213.2649678	1	""	"69L"	"host"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.897685545	2.38779837	2.684420577	"210719_a25"	"69L"	213.2649678	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.36253537288873
"210719_a25"	14557507	633.45617	423.2633489	1	""	"70H"	"hug"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.591693335	1.958237165	2.168429986	"210719_a25"	"70H"	423.2633489	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	6.04799455955902
"210719_a25"	14557507	485.6627571	401.754528	1	""	"71L"	"jar"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.752171359	2.266508601	2.350416831	"210719_a25"	"71L"	401.754528	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	5.99584127524484
"210719_a25"	14557507	658.7050189	388.3766226	1	""	"72L"	"juice"	"aM"	"vM"	"L"	"a"	"aMvM"	2.813050744	2.154345725	2.424674122	"210719_a25"	"72L"	388.3766226	"a"	"aM"	"vM"	"L"	"1"	"aMvM"	5.96197554562531
"210719_a25"	14557507	536.5409377	204.2506104	1	""	"73L"	"junk"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.632454952	2.095914014	2.428204341	"210719_a25"	"73L"	204.2506104	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	5.31934772223014
"210719_a25"	14557507	503.2103913	274.3903122	1	""	"74H"	"kick"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.883211698	2.380001306	2.608821385	"210719_a25"	"74H"	274.3903122	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	5.61455158983489
"210719_a25"	14557507	487.0962524	208.3848603	1	""	"75H"	"knife"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.622573824	2.135477572	2.414188964	"210719_a25"	"75H"	208.3848603	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	5.33938665992741
"210719_a25"	14557507	615.5318734	465.8415597	1	""	"76H"	"knob"	"aM"	"vM"	"H"	"a"	"aMvM"	2.617220955	2.001689081	2.151379395	"210719_a25"	"76H"	465.8415597	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	6.14384557566855
"210719_a25"	14557507	511.8645943	293.7155781	1	""	"78L"	"lap"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.662814498	2.150949904	2.36909892	"210719_a25"	"78L"	293.7155781	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	5.68261187765598
