"parid","scheduleID","accuracy","original_label","note.x","correctans","note.y","duration2","id"
"210719_c53",15074698,1,"15074698_59HaMvNM","pre-nasaling","gown","1__pre-nasaling",0.618522103658478,87
"210719_c66",14758562,1,"14758562_119HaNMvNM","OVERLAP","splash","1__OVERLAP",0.431287268667958,19
"210719_c66",14758562,1,"14758562_120HaMvM","unclear overlap with noise","sponge","1__unclear overlap with noise",0.246268749999999,20
"210719_c71",14549435,1,"14549435_128LaNMvM","unsure_","swan","1_unsure_",0.307635416666656,27
"210725_a120",14668484,1,"14668484_19HaNMvM","glotalized t","chat","1_glotalized t",0.373446147798759,47
"210725_a156",14930256,1,"14930256_3HaMvM","including pre-nasalisation","bay","1_including pre-nasalisation",0.214965773809553,64
"210725_a156",14930256,1,"14930256_40HaMvM","including pre-nasalisation","ditch","1_including pre-nasalisation",0.219258776246733,65
"210725_a165",14947964,1,"14947964_68HaMvM","sounds like 'hize' or 'hithe'.","hive","1_sounds like 'hize' or 'hithe'.",0.200960888364733,96
"210725_a176",15219350,1,"15219350_60LaMvNM","but appears unsure","grin","1_but appears unsure",0.177522298303501,89
"210725_a176",15219350,1,"15219350_64LaMvNM","appears unsure","hen","1_appears unsure",0.322206495097987,93
"210725_a185",15129350,1,"15129350_60HaMvNM","unsure - rising tone","grin","1_unsure - rising tone",0.714522762345609,89
"210725_a185",15129350,1,"15129350_96LaMvM","unsure - rising tone","pile","1_unsure - rising tone",0.372343749999885,124
"210725_a185",15129350,1,"15129350_98LaNMvNM","unsure - rising tone","pine","1_unsure - rising tone",0.305183576839681,126
"210725_a83",14570364,1,"14570364_140HaNMvM","v is not fully voiced ","van","1_v is not fully voiced ",0.00400698529411447,39
"210725_a83",14570364,1,"14570364_15LaMvM","do not know if /b/ is make into a fricative or it was just the noise from the equipment (pre-nasalisation involved)","bruise","1_do not know if /b/ is make into a fricative or it was just the noise from the equipment (pre-nasalisation involved)",0.00264583333332102,42
"210725_a83",14570364,1,"14570364_21HaMvM","clock","clerk","1_clock",0.0166606582125326,47
"210725_a83",14570364,1,"14570364_2HaMvNM","pre-nasalisation","barn","1_pre-nasalisation",0.00929111842100672,56
"210725_a83",14570364,1,"14570364_42LaNMvNM","correct but strange","doll","1_correct but strange",0.00368251811589748,69
"210725_a83",14570364,1,"14570364_58LaNMvNM","pre-nasalisation","goal","1_pre-nasalisation",0.0278017178362007,84
"210725_a83",14570364,1,"14570364_72LaMvNM","prevoicing","juice","1_prevoicing",0.00752478448267202,99
"210725_a83",14570364,1,"14570364_73HaNMvM","prevoicing","junk","1_prevoicing",0.0160984623014884,100
"210725_c122",15102120,1,"15102120_114HaMvM","unsure_rising","silk","1_unsure_rising",0.17310208333334,15
"210725_c122",15102120,1,"15102120_58LaMvNM","unsure_","goal","1_unsure_",0.285683732269547,86
"210725_c130",15367679,1,"15367679_50LaMvNM","don't know","flame","1__don't know",0.518995061728361,78
"210725_c130",15367679,1,"15367679_88LaMvNM","donnot know","mouse","1__donnot know",0.435029513888878,115
"210725_c135",15571068,1,"15571068_103HaNMvM","unsure_","raft","1_unsure_",0.562144549086758,4
