"GROUP"	"SUBJECT"	"AGE"	"sex"	"Participant.OS"	"Participant.Browser"	"randomiser_t27m"	"languages"	"response_6"	"mask.problems"	"Difficulty.x"	"Tiring"	"Difficulty.y"	"Distraction"	"n"	"Mean"	"Conf.level"	"Trad.lower"	"Trad.upper"
"c"	"210725_c94"	8.41666666666667	"Female"	"Mac OS 10.14.6"	"Chrome 92.0.4515.107"	"Version3"	"English"	"Born and raised in the UK"	"No"	2	1	2	2	108	1280	0.95	1220	1330
"c"	"210823_c177"	11.9166666666667	"Male"	"Windows 10"	"Chrome 92.0.4515.159"	"Version5"	"English and another language (bilingual)"	"Raised in the UK from this age (please specify):"	"Yes sometimes"	2	4	3	1	108	410	0.95	374	447
"c"	"210823_c179"	11.9166666666667	"Female"	"Mac OS 10.15"	"Firefox 91.0"	"Version1"	"English and another language (bilingual)"	"Raised in the UK from this age (please specify):"	"I don't know"	3	3	3	1	107	168	0.95	143	193
"a"	"210719_a08"	28.3333333333333	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version1"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	2	1	1	114	333	0.95	309	357
"a"	"210719_a09"	50.1666666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.131"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	4	2	2	114	378	0.95	355	402
"a"	"210719_a10"	22.75	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version2"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	2	2	2	113	258	0.95	236	281
"a"	"210719_a40"	32.5	"Female"	"Mac OS 10.15.7"	"Chrome 91.0.4472.77"	"Version2"	"English and another language (bilingual)"	"Raised in the UK from this age (please specify):"	"Yes sometimes"	3	2	2	1	115	261	0.95	231	292
"c"	"210719_c08"	10.4166666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.159"	"Version3"	"English"	"Born and raised in the UK"	"No"	3	3	2	1	107	195	0.95	168	222
"c"	"210719_c27"	10	"Female"	"Windows 10"	"Chrome 92.0.4515.131"	"Version3"	"English"	"Born and raised in the UK"	"I don't know"	4	1	1	1	111	307	0.95	271	343
"c"	"210719_c43"	11.8333333333333	"Male"	"Mac OS 10.15.6"	"Safari 14.1.1"	"Version6"	"English"	"Born and raised in the UK"	"No"	1	1	2	2	54	377	0.95	334	420
"c"	"210719_c45"	10.75	"Female"	"Windows 7"	"Chrome 89.0.4389.90"	"Version2"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	1	1	1	69	644	0.95	579	709
"c"	"210719_c51"	10.5	"Female"	"Windows 10"	"Chrome 92.0.4515.131"	"Version6"	"English"	"Born and raised in the UK"	"No"	1	1	2	1	101	571	0.95	492	651
"a"	"210725_a130"	45.8333333333333	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version8"	"English"	"Born and raised in the UK"	"Yes frequently"	3	3	2	1	111	592	0.95	556	627
"a"	"210725_a132"	23.0833333333333	"Female"	"Windows 10"	"Chrome 91.0.4472.124"	"Version1"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	2	1	1	108	499	0.95	453	544
"a"	"210725_a133"	42.3333333333333	"Female"	"Windows 10"	"Edge 92.0.902.67"	"Version8"	"English"	"Born and raised in the UK"	"Yes sometimes"	2	3	2	2	112	423	0.95	393	454
"a"	"210725_a136"	21.9166666666667	"Female"	"Windows 10"	"Chrome 92.0.4515.107"	"Version4"	"English"	"Born and raised in the UK"	"Yes sometimes"	3	4	3	2	102	1360	0.95	1270	1440
