"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","videoname","Task.Version","Spreadsheet","Response","display","row_number","filename","Experiment.Version","Participant.OS","Participant.Browser","randomiser.t27m","date.of.birth.year","date.of.birth.month","sex","languages","response.6","response.6.text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response.4.1","response.4.2","response.4.3","response.4.4","response.4.text","response.5","Comments","block","SUBJECT","ITEM","RT","GROUP","AUDIO","VISUAL","PREDICT","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"3396","210725_c81",14745923,1436.70416931866,1299.8426241798,0,"unsure_grim?","60L","grin","aM","vM","L","c","aMvM",3.68983982121773,2.25313565189907,2.38999719703793,"60L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14745923?filename=audioFile-132-2.weba","Block1",117,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-u5lv.csv",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version8",0,0,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",4,"210725_c81","60L",1299.8426241798,"c","aM","vM","L","0","aMvM",117,"4",0,"Male"
"3400","210725_c81",14745923,1598.5123286955,1431.37065551167,0,"hand","64L","hen","aM","vM","L","c","aMvM",3.72535642698193,2.12684409828643,2.29398577147026,"64L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14745923?filename=audioFile-91-2.weba","Block1",78,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-u5lv.csv",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version8",0,0,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",3,"210725_c81","64L",1431.37065551167,"c","aM","vM","L","0","aMvM",78,"3",0,"Male"
"3408","210725_c81",14745923,1412.50808419971,1142.17968784112,0,"unsure_geese?","72L","juice","aM","vM","L","c","aMvM",3.56685380948238,2.15434572528267,2.42467412164126,"72L_aM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14745923?filename=audioFile-60-2.weba","Block1",49,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-u5lv.csv",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version8",0,0,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",2,"210725_c81","72L",1142.17968784112,"c","aM","vM","L","0","aMvM",49,"2",0,"Male"
"3418","210725_c81",14745923,1361.57401062011,1012.68118654596,0,"voiced 'g' in the coda","82L","lungs","aNM","vNM","L","c","aNMvNM",4.0653857153541,2.70381170473399,3.05270452880814,"82L_aNM_vNM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14745923?filename=audioFile-33-2.weba","Block1",24,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-u5lv.csv",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version8",0,0,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",1,"210725_c81","82L",1012.68118654596,"c","aNM","vNM","L","0","aNMvNM",24,"1",0,"Male"
"3431","210725_c81",14745923,2291.89890104255,2164.64783007979,0,"","96L","pile","aNM","vM","L","c","aNMvM",4.24610473590798,1.95420583486543,2.08145690582819,"96L_aNM_vM.mp4",7,"Version8","https://gorilla.sc/uploads/schedule/14745923?filename=audioFile-87-2.weba","Block1",74,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-u5lv.csv",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version8",0,0,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",3,"210725_c81","96L",2164.64783007979,"c","aNM","vM","L","0","aNMvM",74,"3",0,"Male"
"3440","210725_c84",14993977,1169.02432691748,1123.12386395448,0,"a row","108L","row","aM","vM","L","c","aMvM",3.53363447080963,2.36461014389215,2.41051060685515,"108L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14993977?filename=108LaMvMmp4-25-2.weba","Block1",16,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15.7","Chrome 92.0.4515.131","Version1",10,9,"Female","English","Born and raised in the UK","","Yes sometimes",3,2,"",2,2,"Everything worked well","","","","","","",1,"210725_c84","108L",1123.12386395448,"c","aM","vM","L","0","aMvM",16,"1",10.75,"Female"
"3468","210725_c84",14993977,1445.33783548312,1169.30932671121,0,"track","138L","truck","aM","vM","L","c","aMvM",3.39448907699844,1.94915124151532,2.22517975028723,"138L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14993977?filename=138LaMvMmp4-58-2.weba","Block1",47,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15.7","Chrome 92.0.4515.131","Version1",10,9,"Female","English","Born and raised in the UK","","Yes sometimes",3,2,"",2,2,"Everything worked well","","","","","","",2,"210725_c84","138L",1169.30932671121,"c","aM","vM","L","0","aMvM",47,"2",10.75,"Female"
"3565","210725_c86",14742950,6124.42572273266,5968.9994749608,0,"discard_said don't know","118L","sling","aM","vM","L","c","aMvM",8.46069628980046,2.3362705670678,2.49169681483966,"118L_aM_vM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-30-2.weba","Block1",21,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",1,"210725_c86","118L",5968.9994749608,"c","aM","vM","L","0","aMvM",21,"1",0,"Female"
"3568","210725_c86",14742950,4043.17303554998,3821.35014822606,0,"discard_said don't know","121L","spool","aNM","vM","L","c","aNMvM",6.13628728873263,2.09311425318265,2.31493714050657,"121L_aNM_vM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-38-2.weba","Block1",29,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",1,"210725_c86","121L",3821.35014822606,"c","aNM","vM","L","0","aNMvM",29,"1",0,"Female"
"3569","210725_c86",14742950,1691.17378570682,1532.52448015119,0,"discard_said don't know","122L","spoon","aM","vM","L","c","aMvM",3.91533109425721,2.22415730855039,2.38280661410602,"122L_aM_vM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-121-2.weba","Block1",106,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",4,"210725_c86","122L",1532.52448015119,"c","aM","vM","L","0","aMvM",106,"4",0,"Female"
"3599","210725_c86",14742950,5020.99185493199,4885.03768826533,0,"discard_said don't know","27L","coin","aM","vNM","L","c","aMvNM",7.37352234218406,2.35253048725207,2.48848465391873,"27L_aM_vNM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-18-2.weba","Block1",9,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",1,"210725_c86","27L",4885.03768826533,"c","aM","vNM","L","0","aMvNM",9,"1",0,"Female"
"3622","210725_c86",14742950,4887.36862825871,4735.46933390386,0,"discard_girl","58L","goal","aNM","vNM","L","c","aNMvNM",6.84862218771033,1.96125355945162,2.11315285380647,"58L_aNM_vNM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-47-2.weba","Block1",36,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",2,"210725_c86","58L",4735.46933390386,"c","aNM","vNM","L","0","aNMvNM",36,"2",0,"Female"
"3629","210725_c86",14742950,2489.39616759111,2322.25449440728,0,"discard_hand","64L","hen","aM","vNM","L","c","aMvNM",4.61624026587754,2.12684409828643,2.29398577147026,"64L_aM_vNM.mp4",7,"Version7","https://gorilla.sc/uploads/schedule/14742950?filename=audioFile-60-2.weba","Block1",49,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-73fk.csv",9,"Chromium OS 13904.97.0","Chrome 91.0.4472.167","Version7",0,0,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,3,"Everything worked well","","","","","","",2,"210725_c86","64L",2322.25449440728,"c","aM","vNM","L","0","aMvNM",49,"2",0,"Female"
"3666","210725_c94",14889970,1538.75198249006,1394.50049863451,0,"room? vowel in TIN and CLIFF are fronter","105L","rim","aM","vM","L","c","aMvM",4.07756831153808,2.53881632904802,2.68306781290357,"105L_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=105LaMvMmp4-70-2.weba","Block1",59,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",2,"210725_c94","105L",1394.50049863451,"c","aM","vM","L","0","aMvM",59,"2",8.41666666666667,"Female"
"3697","210725_c94",14889970,1384.9703815093,1176.68180334223,0,"self-correction?","137L","trap","aNM","vM","L","c","aNMvM",3.57223179396598,2.18726141245668,2.39554999062375,"137L_aNM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=137LaNMvMmp4-71-2.weba","Block1",60,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",2,"210725_c94","137L",1176.68180334223,"c","aNM","vM","L","0","aNMvM",60,"2",8.41666666666667,"Female"
"3715","210725_c94",14889970,1661.8902306222,1318.54896078091,0,"pops","28L","cops","aM","vM","L","c","aMvM",4.04421760384344,2.38232737322124,2.72566864306253,"28L_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=28LaMvMmp4-53-2.weba","Block1",42,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",2,"210725_c94","28L",1318.54896078091,"c","aM","vM","L","0","aMvM",42,"2",8.41666666666667,"Female"
"3724","210725_c94",14889970,1482.25189791705,1270.27960335687,0,"geck?","37H","deck","aNM","vM","H","c","aNMvM",3.04513490580024,1.56288300788319,1.77485530244337,"37H_aNM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=37HaNMvMmp4-75-2.weba","Block1",62,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",3,"210725_c94","37H",1270.27960335687,"c","aNM","vM","H","0","aNMvM",62,"3",8.41666666666667,"Female"
"3742","210725_c94",14889970,1723.51417152332,1579.04601676142,0,"bean","5H","beam","aM","vM","H","c","aMvM",4.00973463058102,2.2862204590577,2.4306886138196,"5H_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=5HaMvMmp4-61-2.weba","Block1",50,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",2,"210725_c94","5H",1579.04601676142,"c","aM","vM","H","0","aMvM",50,"2",8.41666666666667,"Female"
"3743","210725_c94",14889970,1560.3095944833,1436.34778892775,0,"groan","60H","grin","aM","vNM","H","c","aMvNM",3.91259618350475,2.35228658902145,2.476248394577,"60H_aM_vNM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=60HaMvNMmp4-36-2.weba","Block1",27,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",1,"210725_c94","60H",1436.34778892775,"c","aM","vNM","H","0","aMvNM",27,"1",8.41666666666667,"Female"
"3756","210725_c94",14889970,1613.4312768582,1386.55349505769,0,"jank","73L","junk","aM","vM","L","c","aMvM",3.75226677654678,2.13883549968858,2.36571328148909,"73L_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=73LaMvMmp4-37-2.weba","Block1",28,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",1,"210725_c94","73L",1386.55349505769,"c","aM","vM","L","0","aMvM",28,"1",8.41666666666667,"Female"
"3778","210725_c94",14889970,1673.2437446243,1534.10469862126,0,"pearl","96L","pile","aM","vM","L","c","aMvM",3.78754879301937,2.11430504839507,2.25344409439811,"96L_aM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=96LaMvMmp4-97-2.weba","Block1",84,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",3,"210725_c94","96L",1534.10469862126,"c","aM","vM","L","0","aMvM",84,"3",8.41666666666667,"Female"
"3779","210725_c94",14889970,1456.94383041484,1293.83340215259,0,"pale?","97L","pill","aNM","vM","L","c","aNMvM",3.74500822743005,2.28806439701521,2.45117482527746,"97L_aNM_vM.mp4",7,"Version3","https://gorilla.sc/uploads/schedule/14889970?filename=97LaNMvMmp4-114-2.weba","Block1",99,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-f475.csv",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","","",4,"210725_c94","97L",1293.83340215259,"c","aNM","vM","L","0","aNMvM",99,"4",8.41666666666667,"Female"
"3828","210823_c177",15326180,1578.86349022871,1376.50404758798,0,"unsure_clock?","21H","clerk","aM","vNM","H","c","aMvNM",4.16893828512428,2.59007479489557,2.7924342375363,"21H_aM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=21HaMvNMmp4-10-2.weba","Block1",1,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",1,"210823_c177","21H",1376.50404758798,"c","aM","vNM","H","0","aMvNM",1,"1",11.9166666666667,"Male"
"3837","210823_c177",15326180,360.24034806862,261.05610893819,0,"Van?","2L","barn","aM","vM","L","c","aMvM",2.21549890023141,1.85525855216279,1.95444279129322,"2L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=2LaMvMmp4-66-2.weba","Block1",55,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",2,"210823_c177","2L",261.05610893819,"c","aM","vM","L","0","aMvM",55,"2",11.9166666666667,"Male"
"3851","210823_c177",15326180,2071.7766222804,1822.60730409857,0,"I don't know","43L","dove","aM","vM","L","c","aMvM",4.05736169686466,1.98558507458426,2.23475439276609,"43L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=43LaMvMmp4-129-2.weba","Block1",114,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",4,"210823_c177","43L",1822.60730409857,"c","aM","vM","L","0","aMvM",114,"4",11.9166666666667,"Male"
"3859","210823_c177",15326180,265.904212905445,228.513365386815,0,"unsure_clue?","57H","glue","aNM","vNM","H","c","aNMvNM",2.50718406421097,2.24127985130553,2.27867069882416,"57H_aNM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=57HaNMvNMmp4-61-2.weba","Block1",50,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",2,"210823_c177","57H",228.513365386815,"c","aNM","vNM","H","0","aNMvNM",50,"2",11.9166666666667,"Male"
"3887","210823_c177",15326180,612.610684262078,334.519315214349,0,"nut?","85L","mat","aM","vM","L","c","aMvM",2.59177381101742,1.97916312675534,2.25725449580307,"85L_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=85LaMvMmp4-112-2.weba","Block1",97,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",4,"210823_c177","85L",334.519315214349,"c","aM","vM","L","0","aMvM",97,"4",11.9166666666667,"Male"
"3892","210823_c177",15326180,418.236359531411,293.609276198081,0,"lame","8L","blame","aM","vNM","L","c","aMvNM",2.18752689723135,1.76929053769994,1.89391762103327,"8L_aM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=8LaMvNMmp4-33-2.weba","Block1",24,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",1,"210823_c177","8L",293.609276198081,"c","aM","vNM","L","0","aMvNM",24,"1",11.9166666666667,"Male"
"3902","210823_c177",15326180,814.83993433805,532.94917044916,0,"cannot figure out what she said","9H","blast","aNM","vNM","H","c","aNMvNM",3.04931943984451,2.23447950550646,2.51637026939535,"9H_aNM_vNM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/15326180?filename=9HaNMvNMmp4-99-2.weba","Block1",86,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-jhw4.csv",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No",3,"210823_c177","9H",532.94917044916,"c","aNM","vNM","H","0","aNMvNM",86,"3",11.9166666666667,"Male"
"3964","210823_c179",15327645,600.993970639478,390.042365350268,0,"discard_debt","37L","deck","aM","vNM","L","c","aMvNM",2.77054739844755,2.16955342780807,2.38050503309728,"37L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=37LaMvNMmp4-52-2.weba","Block1",41,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",2,"210823_c179","37L",390.042365350268,"c","aM","vNM","L","0","aMvNM",41,"2",11.9166666666667,"Female"
"3969","210823_c179",15327645,-193.998048969749,-257.512185874559,0,"unsure_die","41L","dive","aM","vNM","L","c","aMvNM",2.37337268503981,2.56737073400956,2.63088487091437,"41L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=41LaMvNMmp4-128-2.weba","Block1",113,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",4,"210823_c179","41L",-257.512185874559,"c","aM","vNM","L","0","aMvNM",113,"4",11.9166666666667,"Female"
"3983","210823_c179",15327645,676.714037226622,554.521079946962,0,"unsure_grinned","60L","grin","aNM","vM","L","c","aNMvM",2.97635630846983,2.29964227124321,2.42183522852287,"60L_aNM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=60LaNMvMmp4-23-2.weba","Block1",14,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",1,"210823_c179","60L",554.521079946962,"c","aNM","vM","L","0","aNMvM",14,"1",11.9166666666667,"Female"
"3992","210823_c179",15327645,233.385050331717,-52.351112993283,0,"unsure_hurt","69H","host","aM","vNM","H","c","aMvNM",2.6408605727371,2.40747552240538,2.69321168573038,"69H_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=69HaMvNMmp4-81-2.weba","Block1",68,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",3,"210823_c179","69H",-52.351112993283,"c","aM","vNM","H","0","aMvNM",68,"3",11.9166666666667,"Female"
"4009","210823_c179",15327645,396.137553968689,184.269622421029,0,"discard_mock","87L","mop","aM","vNM","L","c","aMvNM",2.50642402832665,2.11028647435796,2.32215440590562,"87L_aM_vNM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=87LaMvNMmp4-84-2.weba","Block1",71,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",3,"210823_c179","87L",184.269622421029,"c","aM","vNM","L","0","aMvNM",71,"3",11.9166666666667,"Female"
"4020","210823_c179",15327645,670.068224340124,528.906098271764,0,"discard_time","98L","pine","aM","vM","L","c","aMvM",2.5868414621421,1.91677323780198,2.05793536387034,"98L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=98LaMvMmp4-24-2.weba","Block1",15,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",1,"210823_c179","98L",528.906098271764,"c","aM","vM","L","0","aMvM",15,"1",11.9166666666667,"Female"
"4021","210823_c179",15327645,369.44458982458,99.6240342689698,0,"unsure_tot?","99L","plot","aNM","vM","L","c","aNMvM",1.99346147508021,1.62401688525563,1.89383744081124,"99L_aNM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/15327645?filename=99LaNMvMmp4-59-2.weba","Block1",48,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-l3g6.csv",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun.",2,"210823_c179","99L",99.6240342689698,"c","aNM","vM","L","0","aNMvM",48,"2",11.9166666666667,"Female"
"4028","210719_a08",14866651,561.887707373977,515.987244410977,0,"a row","108L","row","aM","vM","L","a","aMvM",2.92649785126613,2.36461014389215,2.41051060685515,"108L_aM_vM.mp4",7,"Version1","https://gorilla.sc/uploads/schedule/14866651?filename=audioFile-50-2.weba","Block1",39,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/adult randomizer/data_exp_58324-v9_task-b6hw.csv",9,"Windows 10","Chrome 92.0.4515.107","Version1",28,4,"Female","English","Born and raised in the UK","","Yes sometimes",2,2,"Can depend on levels of background noise",1,1,"Everything worked well","","","","","","",2,"210719_a08","108L",515.987244410977,"a","aM","vM","L","0","aMvM",39,"2",28.3333333333333,"Female"
