"","parid","scheduleID","react1","react2","accuracy","note","number","correctans","audio","video","context","group","type","beep_response","length1","length2","videoname","Task.Version","Spreadsheet","Response","display","row_number","filename","Experiment.Version","Participant.OS","Participant.Browser","randomiser.t27m","date.of.birth.year","date.of.birth.month","sex","languages","response.6","response.6.text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response.4.1","response.4.2","response.4.3","response.4.4","response.4.text","response.5","Comments","block","SUBJECT","ITEM","RT","GROUP","AUDIO","VISUAL","PREDICT","ACC","CONDITION","TRIAL","BLOCK","AGE","SEX"
"524","210719_c29",14956811,313.586915749411,130.738983299911,0,"cars?","21L","clerk","aM","vNM","L","c","aMvNM",2.47243973412874,2.15885281837933,2.34170075082883,"21L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=21LaMvNMmp4-80-2.weba","Block1",67,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",3,"210719_c29","21L",130.738983299911,"c","aM","vNM","L","0","aMvNM",67,"3",11.5833333333333,"Female"
"543","210719_c29",14956811,1275.9078321006,1229.2715821006,0,"sounds like boy","3L","bay","aM","vM","L","c","aMvM",3.69359498845037,2.41768715634977,2.46432340634977,"3L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=3LaMvMmp4-16-2.weba","Block1",7,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",1,"210719_c29","3L",1229.2715821006,"c","aM","vM","L","0","aMvM",7,"1",11.5833333333333,"Female"
"555","210719_c29",14956811,-301.188440803092,-342.047567787202,0,"sounds like Alices recording rather than the participant","57H","glue","aM","vNM","H","c","aMvNM",1.90605202726684,2.20724046806993,2.24809959505404,"57H_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=57HaMvNMmp4-50-2.weba","Block1",39,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",2,"210719_c29","57H",-342.047567787202,"c","aM","vNM","H","0","aMvNM",39,"2",11.5833333333333,"Female"
"556","210719_c29",14956811,637.999593382121,512.265369272941,0,"cannot hear","58H","goal","aNM","vM","H","c","aNMvM",2.71302982828115,2.07503023489903,2.20076445900821,"58H_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=58HaNMvMmp4-10-2.weba","Block1",1,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",1,"210719_c29","58H",512.265369272941,"c","aNM","vM","H","0","aNMvM",1,"1",11.5833333333333,"Female"
"573","210719_c29",14956811,875.224374248885,666.303243296515,0,"cannot hear","74L","kick","aM","vNM","L","c","aMvNM",3.28807559588824,2.41285122163936,2.62177235259173,"74L_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=74LaMvNMmp4-29-2.weba","Block1",20,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",1,"210719_c29","74L",666.303243296515,"c","aM","vNM","L","0","aMvNM",20,"1",11.5833333333333,"Female"
"577","210719_c29",14956811,1191.46608092066,1045.58855566816,0,"double l","79H","lid","aNM","vM","H","c","aNMvM",3.25922099028051,2.06775490935985,2.21363243461235,"79H_aNM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=79HaNMvMmp4-100-2.weba","Block1",87,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",3,"210719_c29","79H",1045.58855566816,"c","aNM","vM","H","0","aNMvM",87,"3",11.5833333333333,"Female"
"587","210719_c29",14956811,535.096590061177,410.469506727847,0,"Is there a devoicing of b?","8L","blame","aM","vM","L","c","aMvM",2.30438712776112,1.76929053769994,1.89391762103327,"8L_aM_vM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=8LaMvMmp4-85-2.weba","Block1",72,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",3,"210719_c29","8L",410.469506727847,"c","aM","vM","L","0","aMvM",72,"3",11.5833333333333,"Female"
"596","210719_c29",14956811,395.066132378758,84.1025907120874,0,"dust","9H","blast","aM","vNM","H","c","aMvNM",2.65720242532453,2.26213629294577,2.57309983461244,"9H_aM_vNM.mp4",7,"Version2","https://gorilla.sc/uploads/schedule/14956811?filename=9HaMvNMmp4-129-2.weba","Block1",114,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-tucf.csv",9,"Windows 10","Chrome 92.0.4515.107","Version2",11,7,"Female","English","Born and raised in the UK","","No",2,1,"Muffled Speech",2,1,"","There were issues with the videos","","","","When I clicked on the video the screen went white and i didnt know if it was playing because i couldn't hear. It happened 3 times.","",4,"210719_c29","9H",84.1025907120874,"c","aM","vNM","H","0","aMvNM",114,"4",11.5833333333333,"Female"
"629","210719_c47",14557278,5872.32339925812,5746.13161004244,0,"discard_she siad i don't know","134H","tin","aM","vM","H","c","aMvM",7.8594462806882,1.98712288143008,2.11331467064576,"134H_aM_vM.mp4",7,"Version5","https://gorilla.sc/uploads/schedule/14557278?filename=134HaMvMmp4-29-2.weba","Block1",20,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v5_task-6srq.csv",5,"Windows 10","Chrome 92.0.4515.107","Version5",10,7,"Male","English","Born and raised in the UK",NA,"Yes sometimes",3,1,"He says he understands his teachers quite well when they wear face masks.",1,2,"Everything worked well",NA,NA,NA,NA,"A couple of times my child pressed next first instead of saying the word.","Very enjoyable",1,"210719_c47","134H",5746.13161004244,"c","aM","vM","H","0","aMvM",20,"1",10.5833333333333,"Male"
"716","210719_c53",15074698,1133.12513107384,803.457538481219,0,"graft","103H","raft","aM","vNM","H","c","aMvNM",4.04368902636396,2.91056389529012,3.24023148788274,"103H_aM_vNM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=103HaMvNMmp4-71-2.weba","Block1",60,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","",2,"210719_c53","103H",803.457538481219,"c","aM","vNM","H","0","aMvNM",60,"2",11.0833333333333,"Male"
"719","210719_c53",15074698,1517.63149311331,1333.81550351772,0,"self correction","107L","rope","aM","vM","L","c","aMvM",3.66414786362453,2.14651637051122,2.33033236010681,"107L_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=107LaMvMmp4-39-2.weba","Block1",30,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","",1,"210719_c53","107L",1333.81550351772,"c","aM","vM","L","0","aMvM",30,"1",11.0833333333333,"Male"
"727","210719_c53",15074698,902.740141085933,729.785279974754,0,"sick?","114H","silk","aM","vM","H","c","aMvM",2.80074109531893,1.898000954233,2.07095581534418,"114H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=114HaMvMmp4-61-2.weba","Block1",50,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","",2,"210719_c53","114H",729.785279974754,"c","aM","vM","H","0","aMvM",50,"2",11.0833333333333,"Male"
"731","210719_c53",15074698,557.260347666385,410.270995814645,0,"slink?","118H","sling","aM","vM","H","c","aMvM",2.70865733246904,2.15139698480266,2.2983863366544,"118H_aM_vM.mp4",7,"Version4","https://gorilla.sc/uploads/schedule/15074698?filename=118HaMvMmp4-77-2.weba","Block1",64,"/Users/kechun/Documents/GitHub/PerMaSC/Maskanalysis/questionnaire/child randomizer/data_exp_58325-v9_task-gv44.csv",9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","","",3,"210719_c53","118H",410.270995814645,"c","aM","vM","H","0","aMvM",64,"3",11.0833333333333,"Male"
