"parid"	"scheduleID"	"react1"	"react2"	"accuracy"	"note"	"number"	"correctans"	"audio"	"video"	"context"	"group"	"type"	"beep_response"	"length1"	"length2"	"SUBJECT"	"ITEM"	"RT"	"GROUP"	"AUDIO"	"VISUAL"	"PREDICT"	"ACC"	"CONDITION"	"RTcut"	"LogRT"
"210719_a25"	14557507	667.076706672613	375.509122347243	1	""	"29H"	"crash"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.83084765584945	2.16377094917684	2.45533853350221	"210719_a25"	"29H"	375.509122347243	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.92828276477659
"210719_a25"	14557507	380.504823369526	274.732673068855	1	""	"2H"	"barn"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.30364600320154	1.92314117983201	2.02891333013268	"210719_a25"	"2H"	274.732673068855	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.61579852694152
"210719_a25"	14557507	502.312923969537	423.147796128637	1	""	"30L"	"crew"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.70019416087204	2.1978812369025	2.2770463647434	"210719_a25"	"30L"	423.147796128637	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	6.04772151785166
"210719_a25"	14557507	602.826464907576	404.098049607036	1	""	"32L"	"crop"	"aNM"	"vM"	"L"	"a"	"aNMvM"	2.94736038528502	2.34453392037744	2.54326233567798	"210719_a25"	"32L"	404.098049607036	"a"	"aNM"	"vM"	"L"	"1"	"aNMvM"	"(-50,1e+03]"	6.0016575455621
"210719_a25"	14557507	432.804642060878	345.838047233308	1	""	"33H"	"crown"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.2844810663756	1.85167642431472	1.93864301914229	"210719_a25"	"33H"	345.838047233308	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.84597059389799
"210719_a25"	14557507	406.053793783084	264.885702614974	1	""	"35H"	"curb"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.84522246886868	2.4391686750856	2.58033676625371	"210719_a25"	"35H"	264.885702614974	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.57929842205804
"210719_a25"	14557507	432.135050072993	214.395661255602	1	""	"36H"	"dart"	"aM"	"vM"	"H"	"a"	"aMvM"	2.62448664036143	2.19235159028844	2.41009097910583	"210719_a25"	"36H"	214.395661255602	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.36782319231092
"210719_a25"	14557507	630.338771572489	377.957521572479	1	""	"37L"	"deck"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	3.00982798908131	2.37948921750882	2.63187046750883	"210719_a25"	"37L"	377.957521572479	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	5.93478181251246
"210719_a25"	14557507	651.939184616667	524.679083606558	1	""	"38H"	"den"	"aM"	"vNM"	"H"	"a"	"aMvNM"	3.09503021650882	2.44309103189215	2.57035113290226	"210719_a25"	"38H"	524.679083606558	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	6.26278680636952
"210719_a25"	14557507	890.293005558671	575.217567397281	1	"including pre-nasalisation"	"39H"	"dent"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.67036455284181	1.78007154728314	2.09514698544453	"210719_a25"	"39H"	575.217567397281	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	6.35474834731264
"210719_a25"	14557507	326.494889074115	246.954710502685	1	""	"3H"	"bay"	"aM"	"vM"	"H"	"a"	"aMvM"	2.29949353139754	1.97299864232343	2.05253882089486	"210719_a25"	"3H"	246.954710502685	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.50920496152707
"210719_a25"	14557507	603.592113802971	288.837795408941	1	""	"40H"	"ditch"	"aM"	"vM"	"H"	"a"	"aMvM"	2.41669093834239	1.81309882453942	2.12785314293345	"210719_a25"	"40H"	288.837795408941	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.66586526898544
"210719_a25"	14557507	587.655858922306	417.263628345796	1	""	"41L"	"dive"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.68431523593883	2.09665937701652	2.26705160759303	"210719_a25"	"41L"	417.263628345796	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	6.03371822431123
"210719_a25"	14557507	546.700190626718	369.800885071238	1	""	"42H"	"doll"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.42698457675453	1.88028438612781	2.05718369168329	"210719_a25"	"42H"	369.800885071238	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.91296471232831
"210719_a25"	14557507	669.473707414828	452.277684687568	1	""	"43H"	"dove"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.65445802826102	1.98498432084619	2.20218034357345	"210719_a25"	"43H"	452.277684687568	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	6.11429633785249
"210719_a25"	14557507	592.173504350853	448.819337684204	1	""	"46H"	"drug"	"aM"	"vM"	"H"	"a"	"aMvM"	2.88070216969572	2.28852866534487	2.43188283201152	"210719_a25"	"46H"	448.819337684204	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	6.10662044081189
"210719_a25"	14557507	498.406149016035	376.257435498355	1	""	"47L"	"drum"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.47684080113027	1.97843465211423	2.10058336563191	"210719_a25"	"47L"	376.257435498355	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	5.93027357798969
"210719_a25"	14557507	711.021368206122	525.517727342372	1	""	"4L"	"beak"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.91444609861726	2.20342473041114	2.38892837127489	"210719_a25"	"4L"	525.517727342372	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	6.2643839239866
"210719_a25"	14557507	398.087532292907	302.890527084587	1	""	"50H"	"flame"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.46827642458523	2.07018889229232	2.16538589750064	"210719_a25"	"50H"	302.890527084587	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.71337144347544
"210719_a25"	14557507	469.533681392774	255.586999903944	1	""	"51H"	"flock"	"aNM"	"vM"	"H"	"a"	"aNMvM"	2.56094614701119	2.09141246561842	2.30535914710725	"210719_a25"	"51H"	255.586999903944	"a"	"aNM"	"vM"	"H"	"1"	"aNMvM"	"(-50,1e+03]"	5.54356286011423
"210719_a25"	14557507	667.409087462945	347.757998874275	1	""	"53H"	"frogs"	"aM"	"vM"	"H"	"a"	"aMvM"	2.37528430679617	1.70787521933323	2.0275263079219	"210719_a25"	"53H"	347.757998874275	"a"	"aM"	"vM"	"H"	"1"	"aMvM"	"(-50,1e+03]"	5.8515068323342
"210719_a25"	14557507	558.809093448883	173.994196693752	1	""	"54H"	"fudge"	"aNM"	"vNM"	"H"	"a"	"aNMvNM"	2.71854280829258	2.1597337148437	2.54454861159883	"210719_a25"	"54H"	173.994196693752	"a"	"aNM"	"vNM"	"H"	"1"	"aNMvNM"	"(-50,1e+03]"	5.15902194632357
"210719_a25"	14557507	660.375119118684	572.341087027624	1	""	"57L"	"glue"	"aNM"	"vNM"	"L"	"a"	"aNMvNM"	2.80589088185702	2.14551576273834	2.2335497948294	"210719_a25"	"57L"	572.341087027624	"a"	"aNM"	"vNM"	"L"	"1"	"aNMvNM"	"(-50,1e+03]"	6.34973511965238
"210719_a25"	14557507	366.685787751886	211.932435261446	1	""	"58H"	"goal"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.47018540885458	2.10349962110269	2.25825297359313	"210719_a25"	"58H"	211.932435261446	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	5.35626752227891
"210719_a25"	14557507	582.70697574923	499.98780500258	1	""	"59L"	"gown"	"aM"	"vNM"	"L"	"a"	"aMvNM"	2.86213385467309	2.27942687892386	2.36214604967051	"210719_a25"	"59L"	499.98780500258	"a"	"aM"	"vNM"	"L"	"1"	"aMvNM"	"(-50,1e+03]"	6.21458370812991
"210719_a25"	14557507	609.563476078409	465.095321316509	1	""	"5H"	"beam"	"aM"	"vNM"	"H"	"a"	"aMvNM"	2.89578393513611	2.2862204590577	2.4306886138196	"210719_a25"	"5H"	465.095321316509	"a"	"aM"	"vNM"	"H"	"1"	"aMvNM"	"(-50,1e+03]"	6.14224237665787
