Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-xuy4,branch-lfui,branch-sv81,branch-p82f,randomiser-t27m,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,videoname,ANSWER,feedback,Progress,target,Predict,Auditory,Visual,ItemN,Condition,Combo,order
1379,1627295459021,26/07/2021 10:30:59,1627295457845,1,26/07/2021 11:30:57,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,1,Screen 1,Zone1,fixation,249.9200000000419,,,,,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1380,1627295459152,26/07/2021 10:30:59,1627295457898,1,26/07/2021 11:30:57,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,Zone2,audio_recording2,,,,STARTED RECORDING,,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1381,1627295459851,26/07/2021 10:30:59,1627295458658,1,26/07/2021 11:30:58,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,798,,,VIDEO STARTED,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1382,1627295459944,26/07/2021 10:30:59,1627295458688,1,26/07/2021 11:30:58,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,828,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1383,1627295459944,26/07/2021 10:30:59,1627295458692,1,26/07/2021 11:30:58,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,832,,,VIDEO TIMEUPDATE EVENT FIRED,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1384,1627295459944,26/07/2021 10:30:59,1627295458693,1,26/07/2021 11:30:58,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,626.333,,,ADJUSTED START TIME based on TIMEUPDATE EVENT,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1385,1627295459944,26/07/2021 10:30:59,1627295458702,1,26/07/2021 11:30:58,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,842,,,VIDEO PLAYING EVENT FIRED,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1386,1627295463305,26/07/2021 10:31:03,1627295462119,1,26/07/2021 11:31:02,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,video1,content_video,4259,,,VIDEO ENDED EVENT FIRED,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1387,1627295465071,26/07/2021 10:31:05,1627295463888,1,26/07/2021 11:31:03,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,Zone3,response_button_text,6021,,,Next,1,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
1388,1627295465212,26/07/2021 10:31:05,1627295463920,1,26/07/2021 11:31:03,58324,8,task-75wy,,14579981,210719_a45,4294973,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1366x768,1366x643,,Cued shadowing task 3,7,Pass,Pass,UK,English speaker,Version3,Version3,Version3,72,97,2,Screen 2,Zone2,audio_recording2,,,,STOPPED RECORDING,,0,1,0,,,,2,2,Block1,138L_aNM_vNM.mp4,,truck.jpg,1,truck,0,1,1,138,L_aNM_vNM,aNM_vNM,15
