parid,scheduleID,react1,react2,accuracy,note,number,correctans,audio,video,context,group,type,beep_response,length1,length2
210719_a25,14557507,353.1838697,207.9442697,1,,86H,meal,aM,vM,H,a,aMvM,2.187690236,1.834506366,1.979745966
210719_a25,14557507,650.6650472,402.9626167,1,,87L,mop,aNM,vNM,L,a,aNMvNM,2.760993161,2.110328114,2.358030544
210719_a25,14557507,406.0079364,142.5408312,1,,88H,mouse,aM,vNM,H,a,aMvNM,2.442788499,2.036780562,2.300247667
210719_a25,14557507,517.2113656,332.6810582,1,,89H,mug,aNM,vM,H,a,aNMvM,3.005109105,2.487897739,2.672428047
210719_a25,14557507,492.5866674,417.0991674,1,,8H,blame,aM,vM,H,a,aMvM,2.911499263,2.418912595,2.494400095
210719_a25,14557507,531.7267456,256.3636503,1,,90H,net,aM,vM,H,a,aMvM,2.802400209,2.270673463,2.546036559
210719_a25,14557507,710.7372862,396.8070979,1,,91L,notch,aNM,vNM,L,a,aNMvNM,2.847126784,2.136389498,2.450319686
210719_a25,14557507,371.1954338,208.2139523,1,,93H,pad,aM,vNM,H,a,aMvNM,2.841938528,2.470743094,2.633724575
210719_a25,14557507,569.0598025,299.6340672,1,,94L,pet,aM,vNM,L,a,aMvNM,2.927078982,2.35801918,2.627444915
210719_a25,14557507,518.4895021,459.3566819,1,,95L,pie,aM,vM,L,a,aMvM,3.327553832,2.80906433,2.86819715
210719_a25,14557507,392.497641,265.2465701,1,,96L,pile,aNM,vM,L,a,aNMvM,2.346703476,1.954205835,2.081456906
210719_a25,14557507,599.4980903,463.4986856,1,,97H,pill,aNM,vNM,H,a,aNMvNM,3.002039977,2.402541887,2.538541292
210719_a25,14557507,522.4838053,381.3216793,1,,98L,pine,aM,vNM,L,a,aMvNM,2.439257043,1.916773238,2.057935364
210719_a25,14557507,589.8223642,365.4376958,1,,99L,plot,aM,vM,L,a,aMvM,2.205948445,1.616126081,1.840510749
210719_a25,14557507,633.1309512,351.7408057,1,including prenasalisation,9L,blast,aNM,vNM,L,a,aNMvNM,2.488542606,1.855411655,2.1368018
210719_a41,14610319,1505.0253,1227.960104,1,,100H,pole,aM,vNM,H,a,aMvNM,3.256655444,1.751630145,2.028695341
210719_a41,14610319,1819.797054,1627.20494,1,,101L,pool,aM,vM,L,a,aMvM,3.777406825,1.957609772,2.150201886
210719_a41,14610319,1328.368847,1129.478338,1,,102L,prize,aNM,vM,L,a,aNMvM,3.559767627,2.23139878,2.430289289
210719_a41,14610319,1527.125755,1191.75997,1,,103L,raft,aM,vM,L,a,aMvM,3.757627693,2.230501937,2.565867722
210719_a41,14610319,1477.450674,1132.781457,1,,104L,rent,aNM,vM,L,a,aNMvM,3.631873095,2.15442242,2.499091637
210719_a41,14610319,1357.543892,1194.831771,1,,105H,rim,aM,vNM,H,a,aMvNM,3.713959799,2.356415907,2.519128028
210719_a41,14610319,1378.590667,1163.882959,1,,107L,rope,aNM,vNM,L,a,aNMvNM,3.576538707,2.19794804,2.412655748
210719_a41,14610319,1425.944247,1380.043784,1,,108L,row,aM,vM,L,a,aMvM,3.790554391,2.364610144,2.410510607
210719_a41,14610319,1510.869255,1254.889485,1,,109L,sand,aNM,vM,L,a,aNMvM,3.641373878,2.130504623,2.386484393
210719_a41,14610319,1279.925449,1121.707278,1,,10H,bowl,aNM,vNM,H,a,aNMvNM,3.526284517,2.246359067,2.404577239
210719_a41,14610319,1282.38411,1120.849689,1,,110H,scab,aM,vNM,H,a,aMvNM,3.40698261,2.1245985,2.28613292
210719_a41,14610319,1393.280749,1091.077045,1,,111L,seeds,aNM,vNM,L,a,aNMvNM,3.120329015,1.727048266,2.02925197
210719_a41,14610319,1293.707932,1121.378553,1,,112H,shed,aM,vM,H,a,aMvM,3.270349635,1.976641703,2.148971082
210719_a41,14610319,1725.893241,1516.367778,1,,113H,sheep,aNM,vM,H,a,aNMvM,3.792958803,2.067065561,2.276591024
210719_a41,14610319,1301.247991,1113.237694,1,,114L,silk,aM,vNM,L,a,aMvNM,3.218907634,1.917659643,2.10566994
210719_a41,14610319,1116.770132,870.0800653,1,,115H,skirt,aNM,vNM,H,a,aNMvNM,3.291158065,2.174387933,2.421078
210719_a41,14610319,1247.399419,1019.550721,1,,116H,sleeves,aM,vM,H,a,aMvM,3.566673028,2.31927361,2.547122308
210719_a41,14610319,1368.882765,1104.920933,1,,117H,slice,aNM,vM,H,a,aNMvM,3.471899944,2.103017178,2.36697901
210719_a41,14610319,1422.613071,1267.186823,0,snail,118L,sling,aM,vNM,L,a,aMvNM,3.758883638,2.336270567,2.491696815
210719_a41,14610319,1268.342815,997.311543,1,,119H,splash,aNM,vNM,H,a,aNMvNM,3.439004474,2.170661659,2.441692931
210719_a41,14610319,1520.447286,1125.144748,1,,120H,sponge,aM,vM,H,a,aMvM,3.720931117,2.20048383,2.595786368
210719_a41,14610319,1366.074619,1118.47285,1,,121H,spool,aNM,vM,H,a,aNMvM,3.204300766,1.838226147,2.085827915
210719_a41,14610319,1350.583595,1191.93429,1,,122L,spoon,aM,vNM,L,a,aMvNM,3.574740904,2.224157309,2.382806614
210719_a41,14610319,1327.599686,1145.807544,1,,123H,sport,aNM,vNM,H,a,aNMvNM,3.674472666,2.34687298,2.528665121
210719_a41,14610319,1514.385334,1461.656167,1,,124H,spray,aM,vM,H,a,aMvM,3.597037091,2.082651757,2.135380924
210719_a41,14610319,1182.339393,976.0718645,1,,126H,strap,aNM,vM,H,a,aNMvM,3.212817179,2.030477786,2.236745315
210719_a41,14610319,1520.059861,1054.915101,1,,127L,swamps,aM,vNM,L,a,aMvNM,3.525955336,2.005895475,2.471040235
210719_a41,14610319,1177.550236,1049.557089,1,,128H,swan,aNM,vNM,H,a,aNMvNM,3.371936858,2.194386623,2.322379769
210719_a41,14610319,1400.143052,1351.204414,1,,129L,tea,aM,vM,L,a,aMvM,3.623623814,2.223480762,2.272419399
210719_a41,14610319,1492.495207,1309.759256,1,,12H,bread,aM,vM,H,a,aMvM,3.873695959,2.381200752,2.563936703
210719_a41,14610319,1548.119185,1194.683653,1,,130L,tent,aNM,vM,L,a,aNMvM,3.306075543,1.757956357,2.11139189
210719_a41,14610319,1458.923679,1186.154048,1,,131H,thief,aM,vNM,H,a,aMvNM,3.31289301,1.853969331,2.126738963
210719_a41,14610319,1423.372773,1126.458794,1,,132L,thorns,aNM,vNM,L,a,aNMvNM,3.733788349,2.310415576,2.607329555
210719_a41,14610319,1320.36753,1084.411242,1,,133L,throat,aM,vM,L,a,aMvM,3.15991255,1.839545021,2.075501308
210719_a41,14610319,1389.78408,1235.912822,1,,134L,tin,aNM,vM,L,a,aNMvM,3.144849387,1.755065307,1.908936564
210719_a41,14610319,1247.278848,1048.936763,1,,136H,trail,aM,vNM,H,a,aMvNM,3.055744014,1.808465166,2.006807251
210719_a41,14610319,1318.405106,1110.116528,1,,137L,trap,aNM,vNM,L,a,aNMvNM,3.505666518,2.187261412,2.395549991
210719_a41,14610319,1813.161123,1537.132614,1,,138L,truck,aM,vM,L,a,aMvM,3.762312365,1.949151242,2.22517975
210719_a41,14610319,1460.794477,1288.13223,1,,139L,tub,aNM,vM,L,a,aNMvM,3.830387036,2.369592559,2.542254806
210719_a41,14610319,1393.316232,1162.860971,1,,13H,breath,aM,vM,H,a,aMvM,3.664847855,2.271531624,2.501986884
210719_a41,14610319,1056.350415,887.8480112,0,nasalisation 'mban',140H,van,aM,vNM,H,a,aMvNM,3.652084912,2.595734497,2.7642369
210719_a41,14610319,1564.353629,1232.648829,1,,141L,wax,aNM,vNM,L,a,aNMvNM,3.486681755,1.922328126,2.254032926
210719_a41,14610319,1213.288915,1103.490732,1,,14H,broom,aNM,vM,H,a,aNMvM,3.292143384,2.07885447,2.188652652
210719_a41,14610319,1390.860482,1246.553793,1,,15L,bruise,aM,vNM,L,a,aMvNM,3.515135098,2.124274616,2.268581305
210719_a41,14610319,1350.697743,1129.8259,1,,16H,cake,aNM,vNM,H,a,aNMvNM,3.974812776,2.624115033,2.844986876
210719_a41,14610319,1504.232199,1271.752241,0,pulsed?,17L,calf,aM,vM,L,a,aMvM,4.227676993,2.723444794,2.955924752
210719_a41,14610319,1275.90869,1090.508888,1,,19L,chat,aNM,vM,L,a,aNMvM,3.637370418,2.361461728,2.546861529
210719_a41,14610319,1513.343502,1079.678115,1,,20H,chunks,aM,vNM,H,a,aMvNM,3.531046706,2.017703204,2.451368591
210719_a41,14610319,1296.433393,1122.719925,1,,21L,clerk,aNM,vNM,L,a,aNMvNM,3.491217132,2.19478374,2.368497207
210719_a41,14610319,1369.666524,1074.606107,1,,22L,cliff,aM,vM,L,a,aMvM,3.33791346,1.968246937,2.263307353
210719_a41,14610319,1408.907027,1144.07215,1,,23L,clock,aNM,vM,L,a,aNMvM,3.641605759,2.232698732,2.497533608
210719_a41,14610319,1383.52004,1323.409469,1,,24H,clue,aM,vNM,H,a,aMvNM,3.891441271,2.507921231,2.568031802
210719_a41,14610319,1490.873776,1184.810979,1,,25L,coach,aNM,vNM,L,a,aNMvNM,3.925771599,2.434897823,2.740960621
210719_a41,14610319,1830.012437,1538.620075,1,,26L,coast,aM,vM,L,a,aMvM,4.168419252,2.338406816,2.629799177
210719_a41,14610319,1203.155243,1093.27566,1,,27L,coin,aNM,vM,L,a,aNMvM,3.37644498,2.173289737,2.28316932
210719_a41,14610319,1464.157383,1132.503543,1,,28H,cops,aM,vNM,H,a,aMvNM,3.573810421,2.109653039,2.441306879
210719_a41,14610319,1393.62215,1060.164598,1,,29L,crash,aNM,vNM,L,a,aNMvNM,3.617969385,2.224347235,2.557804787
210719_a41,14610319,1315.108151,1205.037481,1,,2H,barn,aM,vM,H,a,aMvM,3.261618421,1.94651027,2.05658094
210719_a41,14610319,1201.936697,1122.771569,1,,30L,crew,aM,vM,L,a,aMvM,3.399817934,2.197881237,2.277046365
210719_a41,14610319,1427.178912,1226.865023,1,,31L,crib,aNM,vM,L,a,aNMvM,3.810978207,2.383799295,2.584113183
210719_a41,14610319,1379.187741,1163.948653,1,,32H,crop,aM,vNM,H,a,aMvNM,3.597204603,2.218016862,2.433255949
