label	sentence	time
b	14557507_67LaMvNM	545.6258232559998
r	14557507_67LaMvNM	548.3400208333334
b	14557507_68LaMvM	550.8426610361391
r	14557507_68LaMvM	553.4024791666666
b	14557507_69LaNMvM	555.5003301072458
r	14557507_69LaNMvM	558.4305833333333
b	14557507_70HaNMvNM	561.0256183069274
r	14557507_70HaNMvNM	563.62234375
b	14557507_71LaMvNM	566.1649547933179
r	14557507_71LaMvNM	568.9017083333333
b	14557507_72LaMvM	571.4025338684733
r	14557507_72LaMvM	574.1965416666667
b	14557507_73LaNMvM	576.2526954220025
r	14557507_73LaNMvM	578.8730625000001
b	14557507_74HaNMvNM	581.460591678356
r	14557507_74HaNMvNM	584.3322708333334
b	14557507_75HaNMvM	587.5820144702144
r	14557507_75HaNMvM	590.195875
b	14557507_76HaMvM	592.9397971575376
r	14557507_76HaMvM	595.5512291666666
b	14557507_78LaNMvNM	597.8390081120124
r	14557507_78LaNMvNM	600.4914687500001
b	14557507_79HaMvNM	603.0171493424142
r	14557507_79HaMvNM	605.4153645833334
b	14557507_7HaNMvM	608.809511507124
r	14557507_7HaNMvM	611.3043124999999
b	14557507_80HaNMvM	614.0373874331829
r	14557507_80HaNMvM	616.6508645833334
b	14557507_81HaMvM	618.8616559206529
r	14557507_81HaMvM	621.4345833333333
b	14557507_82LaNMvNM	624.5408355186785
r	14557507_82LaNMvNM	627.8584375
b	14557507_83HaMvNM	630.7893021460371
r	14557507_83HaMvNM	633.5948020833333
b	14557507_85HaNMvM	638.1981146221572
r	14557507_85HaNMvM	640.8563645833334
b	14557507_86HaMvM	644.2439818813785
r	14557507_86HaMvM	646.4179583333332
b	14557507_87LaNMvNM	649.0329397416646
r	14557507_87LaNMvNM	651.7766874999999
b	14557507_88HaMvNM	654.8573231602492
r	14557507_88HaMvNM	657.2911770833334
b	14557507_89HaNMvM	660.0458383270603
r	14557507_89HaNMvM	662.8902604166666
b	14557507_8HaMvM	665.6742711338411
r	14557507_8HaMvM	668.5819687499999
b	14557507_90HaMvM	671.6793471714298
r	14557507_90HaMvM	674.4725520833333
b	14557507_91LaNMvNM	677.4581880071062
r	14557507_91LaNMvNM	680.2956979166668
b	14557507_93HaMvNM	683.8586583383866
r	14557507_93HaMvNM	686.6808333333332
b	14557507_94LaMvNM	690.8192681803232
r	14557507_94LaMvNM	693.7342291666666
b	14557507_95LaMvM	696.4281762078886
r	14557507_95LaMvM	699.7413541666666
b	14557507_96LaNMvM	702.0851570820901
r	14557507_96LaNMvM	704.4207604166666
b	14557507_97HaNMvNM	707.8477109586698
r	14557507_97HaNMvNM	710.84175
b	14557507_98LaMvNM	713.784720044558
r	14557507_98LaMvNM	716.2128124999999
b	14557507_99LaMvM	718.6422384661126
r	14557507_99LaMvM	720.85021875
b	14557507_9LaNMvNM	722.8511296507171
r	14557507_9LaNMvNM	725.3358020833333
