label	sentence	time
b	19LaNMvNM	318.18589142959536
r	19LaNMvNM	321.2165937500001
b	20LaMvM	328.12074622843227
r	20LaMvM	331.70453125
b	21HaNMvM	336.7176945483952
r	21HaNMvM	340.4452708333333
b	22HaMvNM	344.438178981014
r	22HaMvNM	347.12565624999996
b	23LaNMvNM	350.27232142978073
r	23LaNMvNM	353.5367395833334
b	24LaMvM	356.18492752587974
r	24LaMvM	359.9378229166667
b	25HaNMvM	362.2426771211712
r	25HaNMvM	364.8199375
b	26HaMvNM	368.9856022474073
r	26HaMvNM	372.2295104166667
b	27LaNMvNM	375.94324353194435
r	27LaNMvNM	379.17893749999996
b	28LaMvM	382.6454256897002
r	28LaMvM	387.56901041666663
b	29HaNMvM	397.80069601913493
r	29HaNMvM	400.92302083333334
b	2HaMvNM	403.56324247157994
r	2HaMvNM	406.778
b	30HaMvNM	408.7712008384785
r	30HaMvNM	411.93370833333336
b	31LaNMvNM	423.3695315211534
r	31LaNMvNM	426.76787500000006
b	32LaMvM	432.9293369400663
r	32LaMvM	436.2430520833334
b	33HaNMvM	438.6895146993893
r	33HaNMvM	441.16992708333333
b	35HaMvNM	444.08011340535563
r	35HaMvNM	447.85809375
b	36LaNMvNM	450.3177921606012
r	36LaNMvNM	453.05659375
b	37LaMvM	458.3001369413438
r	37LaMvM	462.0543333333334
b	38HaNMvM	464.5206337902056
r	38HaNMvM	468.7117604166666
b	39HaMvNM	471.3747235571808
r	39HaMvNM	473.98346875
b	3LaNMvNM	478.2243479335274
r	3LaNMvNM	481.49516666666665
b	40LaNMvNM	483.72438062155163
r	40LaNMvNM	488.05126041666665
b	41LaMvM	490.05254609042856
r	41LaMvM	496.98659375
b	42HaNMvM	498.8971504016851
r	42HaNMvM	501.72361458333336
b	43HaMvNM	504.4368462335848
r	43HaMvNM	507.7033229166667
b	44LaNMvNM	517.5493642597511
r	44LaNMvNM	521.8609062500001
b	45HaMvNM	527.2861287752755
r	45HaMvNM	531.9008229166666
b	46LaNMvNM	534.3323908816452
r	46LaNMvNM	537.8071979166666
b	47LaMvM	540.8825091895454
r	47LaMvM	545.7680729166666
b	48LaNMvM	556.5598615419931
r	48LaNMvM	559.6795104166666
b	4LaMvM	562.7631205515295
r	4LaMvM	566.6031354166665
b	50HaNMvM	568.4700971823885
r	50HaNMvM	571.3206770833334
b	51HaMvNM	573.34597509876
r	51HaMvNM	576.739875
b	52HaMvNM	580.1860660017338
r	52HaMvNM	584.3526041666667
b	53LaNMvNM	587.2491136719574
r	53LaNMvNM	590.5961666666667
b	54HaNMvM	595.3552738016975
r	54HaNMvM	598.2023854166667
b	55HaNMvNM	603.5796945886418
r	55HaNMvNM	607.59009375
b	57LaMvM	609.8942241198346
r	57LaMvM	613.6567083333333
b	58HaNMvM	616.6003081047795
r	58HaNMvM	619.6730520833333
b	59HaMvNM	623.256064597537
r	59HaMvNM	626.45134375
b	5HaNMvM	630.8258805641788
r	5HaNMvM	633.8504166666667
b	60LaNMvNM	638.8129105916823
r	60LaNMvNM	642.2094583333334
b	61LaMvM	645.6893788296338
r	61LaMvM	650.3672395833335
b	62HaNMvM	654.5096503319677
r	62HaNMvM	657.8116875000001
b	63HaMvNM	659.8708589078677
r	63HaMvNM	663.3299583333334
b	64LaNMvNM	668.7423672123915
r	64LaNMvNM	672.0836041666666
b	65LaMvM	674.8173863257052
r	65LaMvM	677.97559375
b	66HaNMvM	680.6982432132143
r	66HaNMvM	683.8771875
b	67HaMvNM	687.1301565221123
r	67HaMvNM	690.5359583333334
b	68LaNMvNM	693.3012858340073
r	68LaNMvNM	696.3216562499999
b	69LaMvM	699.6690877984627
r	69LaMvM	702.86428125
b	70HaNMvM	705.9604628594781
r	70HaNMvM	708.9921354166665
b	71HaMvNM	711.9524836905015
r	71HaMvNM	714.8550520833334
b	72LaNMvNM	719.125339867849
r	72LaNMvNM	722.50021875
b	73LaMvM	728.5283288027624
r	73LaMvM	731.5523020833333
b	74HaNMvM	733.4347137813489
r	74HaNMvM	736.8122916666666
b	75HaMvNM	739.9208128613643
r	75HaMvNM	743.0907708333333
b	76LaNMvNM	745.1640096072205
r	76LaNMvNM	748.0553541666667
b	78LaMvM	750.4887320331086
r	78LaMvM	754.7914479166667
b	79HaNMvM	760.8666839583682
r	79HaNMvM	764.4471458333333
b	7HaMvNM	768.0633613753281
r	7HaMvNM	771.4378854166666
b	80HaMvNM	773.3267524619372
r	80HaMvNM	776.1573333333332
b	81LaNMvNM	779.5840663415438
r	81LaNMvNM	782.559
b	82LaMvM	785.1165379867857
r	82LaMvM	788.98703125
b	83HaNMvM	791.4427512698319
r	83HaNMvM	794.7245625
b	85HaMvNM	797.9750345552525
r	85HaMvNM	800.9649791666667
b	86LaNMvNM	804.2760034575783
r	86LaNMvNM	807.4817395833333
b	87LaMvM	811.6179037736418
r	87LaMvM	814.9818958333335
b	88HaNMvM	818.217337954423
r	88HaNMvM	821.4538541666666
b	89HaMvNM	825.4599724538992
r	89HaMvNM	829.0632812499999
