label	sentence	time
r	28LaNMvNM	288.3525545343137
b	29HaMvNM	291.1338684967867
r	29HaMvNM	293.6258323412698
b	2HaNMvM	295.9039852849389
r	2HaNMvM	298.1144166666666
b	30HaNMvM	300.50765251093725
r	30HaNMvM	302.7290104166667
b	31LaMvM	306.2887246279922
r	31LaMvM	308.96693750000003
b	32LaNMvNM	311.7852791630434
r	32LaNMvNM	314.43286458333336
b	33HaMvNM	317.51793568873063
r	33HaMvNM	319.5519791666667
b	35HaNMvM	322.4182735064396
r	35HaNMvM	325.0377291666667
b	36LaMvM	327.44767220253436
r	36LaMvM	329.6955833333334
b	37LaNMvNM	332.1396835060821
r	37LaNMvNM	334.79978125
b	38HaMvNM	337.2822353221488
r	38HaMvNM	339.956375
b	39HaNMvM	343.45127154702885
r	39HaNMvM	345.62736458333336
b	3LaMvM	348.4629484756211
r	3LaMvM	351.04846875
b	40LaMvM	354.04519627835015
r	40LaMvM	356.30435416666666
b	41LaNMvNM	359.14179461908196
r	41LaNMvNM	361.498625
b	42HaMvNM	363.59536226586624
r	42HaMvNM	365.7679895833333
b	43HaNMvM	368.5598256447629
r	43HaNMvM	370.86266666666666
b	44LaNMvNM	374.05746441693174
r	44LaNMvNM	376.88346874999996
b	45HaMvNM	380.6550505261815
r	45HaMvNM	383.33607291666664
b	46LaMvM	386.0275404773201
r	46LaMvM	388.2041666666667
b	47LaNMvNM	390.5957452601332
r	47LaNMvNM	392.86584375
b	48LaNMvM	395.7917159774788
r	48LaNMvM	398.0372604166667
b	4LaNMvNM	400.7229680673655
r	4LaNMvNM	403.20522916666664
b	50HaMvNM	405.58367811203493
r	50HaMvNM	407.8193229166667
b	51HaNMvM	410.15340196417856
r	51HaNMvM	412.49767838541663
b	52HaMvNM	415.2827459662384
r	52HaMvNM	417.5796666666667
b	53LaMvM	420.4439143236694
r	53LaMvM	422.647125
b	54HaMvNM	424.900482234127
r	54HaMvNM	427.3382273284314
b	55HaNMvNM	430.17366791849355
r	55HaNMvNM	432.5238729980999
b	57LaNMvNM	436.0940686865686
r	57LaNMvNM	438.3981145833334
b	58HaMvNM	440.8539810475779
r	58HaMvNM	443.12966666666665
b	59HaNMvM	445.54789114971294
r	59HaNMvM	447.6418229166667
b	5HaMvNM	450.3190849169671
r	5HaMvNM	452.78187500000007
b	60LaMvM	455.39907417671037
r	60LaMvM	458.00779166666666
